,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52
312,0,0,0,3,0,5,3,5,64,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,0,2,0,5,2,0,0,0,2,0,0,0,1,0,2,0,0,0,1,1,0,0,2,2,1,2,2,1,1,2,2,2,0,1,2,1,0,0,0,2,0,2,0,0,1,0,0,0,1,1,0,1,1,2,1,1,0,1,0,0
313,0,0,1,1,2,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,2,0,3,0,6,2,0,0,0,1,1,2,2,1,2,0,2,2,0,2,1,0,1,1,2,1,1,0,2,0,2,0,0,2,1,0,1,1,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,1,2,0
314,0,1,2,2,4,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,0,0,3,4,2,5,5,0,0,2,2,1,1,2,1,2,0,2,1,0,2,0,0,0,1,0,0,2,2,2,2,0,1,0,0,1,1,0,0,0,2,0,0,2,0,1,1,2,1,2,0,2,2,1,1,2,0,0,1,2,1
315,0,1,2,2,3,1,1,5,47,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,0,3,4,2,2,0,0,0,2,2,1,2,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,2,1,1,0,1,0,2,0,1,2,2,0,0,0,0,2,1,1,0,0,0,1,2,2
316,0,0,0,3,0,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,2,1,1,1,6,0,0,2,0,2,2,1,0,1,1,1,1,0,1,0,2,1,2,1,2,0,0,1,1,0,1,2,2,1,2,0,1,2,1,0,2,2,1,1,0,2,2,1,1,2,1,2,1,1,1,1,2,2,2
317,0,0,0,1,2,2,5,2,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,2,0,1,1,1,1,0,0,0,0,2,1,2,2,0,0,0,1,0,0,1,1,1,0,2,1,0,2,2,0,1,1,0,1,0,1,2,2,1,0,0,2,1,2,1,2,1,1,2,0,2,1,1,0,1,0,1,2,2,0
318,0,1,2,2,4,3,2,3,-1,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,3,4,2,5,5,0,0,2,2,1,2,1,1,0,2,2,0,2,1,2,2,0,2,2,1,0,0,1,0,1,1,0,2,2,0,2,1,1,1,1,2,2,0,2,0,2,1,1,0,2,0,0,0,0,1,0,2,0,0
319,0,0,1,1,2,2,6,2,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,2,0,3,3,6,1,0,0,2,2,0,1,0,2,2,1,1,0,2,2,0,0,0,0,1,1,2,1,1,0,0,1,0,0,2,0,0,2,2,0,1,0,0,2,0,0,0,0,2,2,1,0,2,0,2,2,1,1,1,2
320,0,0,0,3,0,5,3,0,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,5,3,4,0,0,0,0,1,2,2,1,2,2,2,1,2,0,2,0,0,1,0,2,2,1,1,2,2,0,2,0,1,0,1,2,2,0,1,1,0,2,2,1,2,1,0,2,0,0,2,2,1,1,0,2,1,0
321,0,0,0,3,0,0,5,7,18,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,1,2,2,1,1,1,6,0,0,0,2,2,0,0,1,0,0,0,2,0,1,0,0,1,0,1,1,0,1,1,2,0,0,0,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,2,2,2,2,1,1,2,2,0,0,0,0
322,0,0,0,3,3,1,1,5,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,0,2,0,0,2,0,0,0,0,0,2,2,2,2,0,2,1,1,0,1,2,2,0,2,2,0,0,0,2,0,2,1,0,0,1,2,1,2,0,2,0,0,0,2,0,1,0,0,2,2,0,2,1,1,1,2,0,1,2,0
323,0,0,1,1,2,2,6,2,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,2,0,3,3,6,1,0,0,1,1,0,0,1,1,2,2,0,0,2,0,0,2,2,0,1,1,1,0,2,1,0,0,0,0,2,0,2,0,2,1,2,2,1,2,2,1,0,1,1,2,2,1,2,2,0,1,0,0,2,1
324,0,0,0,3,0,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,5,3,4,0,0,0,0,2,2,2,2,2,2,1,0,2,2,0,2,2,1,0,0,0,1,2,1,1,1,0,0,0,2,2,2,0,1,1,2,0,2,0,1,0,0,2,0,1,1,1,0,1,2,2,2,1,2
325,0,1,1,0,1,4,4,4,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,1,2,4,0,7,0,0,0,1,0,2,1,1,2,2,1,2,0,2,0,0,1,2,2,1,2,0,2,2,2,2,0,1,0,1,0,0,2,2,2,1,2,2,0,0,1,0,1,0,1,2,0,0,0,2,1,0,0,0
326,0,0,1,1,2,2,6,2,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,2,0,3,3,6,2,0,0,0,0,2,0,0,2,2,0,1,0,0,1,0,2,0,0,0,0,1,0,1,2,0,1,2,1,2,0,1,1,1,0,1,2,1,1,1,1,1,0,1,0,0,2,1,0,1,1,1,2,0,0
327,0,1,1,0,1,4,4,4,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,1,2,4,0,7,0,0,1,0,1,0,2,2,2,2,0,2,2,1,2,1,0,2,1,1,1,2,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,1,0,0,2,0,0,0,0,0,2,1,2,0,1,2,2
328,0,0,0,3,0,5,3,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,5,3,4,0,0,0,0,1,0,0,2,2,1,1,1,0,2,2,2,0,1,0,2,0,2,2,2,2,0,2,0,0,2,2,1,0,2,2,0,1,0,1,1,1,1,0,0,0,1,0,1,2,0,2,1,1,1
329,0,1,1,0,1,0,0,4,85,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,7,0,1,1,1,2,0,4,2,0,0,0,1,2,1,0,2,1,2,2,2,1,2,0,0,1,2,0,1,2,0,2,1,2,2,1,2,2,1,2,2,0,0,1,0,2,0,2,2,2,2,1,0,0,0,1,0,2,2,0,2,2,1
330,0,0,1,0,1,0,0,6,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,1,3,3,6,2,0,0,0,2,1,2,2,2,1,2,0,2,1,0,0,0,2,0,2,1,1,2,0,2,1,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,2,2,0,1,2,0,2,0,1,0,2,0,1,2
331,0,0,0,3,0,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,2,1,1,1,6,0,0,1,0,0,2,2,2,1,0,0,0,0,0,1,0,1,2,1,0,0,0,2,2,2,1,1,1,0,0,0,0,0,2,1,1,2,0,0,1,0,1,1,1,0,2,1,1,0,1,0,2,2,2
332,0,1,2,0,1,0,0,1,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,1,2,0,4,3,0,0,2,0,2,0,2,0,1,0,0,0,2,0,2,0,0,1,0,0,2,0,1,0,0,2,0,1,2,0,2,0,2,1,1,2,2,1,0,2,0,2,1,2,0,2,0,1,2,1,1,0,0,1
333,0,0,1,1,2,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,2,0,3,0,6,2,0,0,1,2,1,0,2,2,1,2,0,0,0,1,1,2,0,1,1,1,1,0,1,0,0,0,1,0,2,1,1,0,0,2,1,2,1,0,1,1,2,0,2,0,0,1,1,1,0,2,1,0,0,0
334,0,1,1,0,1,4,4,4,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,1,2,4,0,7,0,0,2,1,1,1,0,2,1,2,2,1,2,2,1,0,1,2,2,1,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,1,1,0,1,2,2,2,2,2
335,0,0,0,1,2,0,5,7,99,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,1,2,0,1,1,1,6,0,0,0,2,0,0,1,1,1,0,0,1,2,1,1,2,1,2,1,2,0,0,0,1,1,0,1,0,2,1,0,2,0,1,0,1,2,1,2,0,1,1,0,2,1,1,0,0,1,1,1,2,0,0
336,0,1,2,2,4,3,2,1,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,0,0,3,4,2,4,3,0,0,0,1,2,2,2,1,2,0,2,1,1,2,0,1,2,1,1,2,1,1,0,2,1,0,2,2,0,1,0,2,1,1,2,2,1,0,0,0,1,1,0,2,1,2,0,1,0,2,2,0,0,1
337,0,1,1,0,1,4,4,4,100,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,1,2,4,0,7,0,0,2,1,2,1,2,2,1,1,2,2,2,2,0,1,0,0,1,2,2,2,2,1,2,2,2,1,2,2,0,0,0,0,0,2,2,2,1,2,0,0,0,2,1,0,0,2,1,1,1,0,1,0
338,0,0,0,3,3,1,1,5,101,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,0,0,2,0,5,2,0,0,0,0,2,2,2,1,0,0,2,1,1,1,1,0,1,1,2,1,0,1,1,1,0,2,1,1,0,2,1,1,0,0,2,0,0,0,1,0,2,1,1,0,0,1,1,1,0,1,1,2,1,1,1
339,0,0,0,3,0,5,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,1,0,0,0,2,0,5,3,4,0,0,0,2,2,1,1,0,1,0,2,0,2,1,1,2,0,2,2,0,0,1,1,1,2,0,2,0,1,2,0,1,1,1,2,1,1,2,2,2,1,2,1,0,2,2,0,1,1,0,2,1,0,0
340,0,1,2,2,4,3,2,3,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,3,4,2,5,5,0,0,2,1,0,2,2,0,2,0,0,2,0,1,2,2,0,0,1,1,2,2,1,2,0,1,0,1,0,2,2,1,2,1,0,0,0,2,2,1,2,1,2,0,0,2,0,1,2,0,2,1,2,2
341,0,0,0,3,3,1,1,5,102,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,0,2,0,5,2,0,0,0,2,1,1,0,1,0,0,2,0,2,2,1,1,1,1,0,1,0,1,0,0,0,1,2,2,1,2,2,0,2,2,1,0,2,2,1,2,2,0,0,2,2,2,0,0,2,1,2,1,1,1,0
342,0,0,1,0,1,0,0,6,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,1,3,3,6,2,0,0,1,1,2,1,0,0,0,2,1,0,0,2,2,2,2,0,1,0,2,1,1,0,0,0,0,0,1,2,1,2,1,1,1,2,0,2,2,2,2,0,1,0,0,0,1,1,0,1,2,2,2,0
343,0,0,0,1,2,2,5,2,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,2,0,1,1,1,6,0,0,0,1,0,2,2,1,2,1,1,0,0,2,1,1,0,2,2,0,0,0,1,0,1,2,2,2,0,1,0,1,1,0,2,1,0,0,1,0,2,2,0,1,2,0,1,0,2,1,2,1,2,0
344,0,1,2,2,4,3,2,1,95,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,1,3,4,0,4,3,0,0,0,0,2,0,2,1,1,1,2,2,0,1,2,2,2,1,1,0,1,2,2,1,2,1,1,2,1,0,0,1,0,1,2,1,1,0,2,0,1,1,1,2,2,0,2,0,2,0,2,1,0,1
345,0,0,1,1,2,0,0,6,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,2,0,3,0,6,2,0,0,1,2,0,1,1,2,0,2,0,2,0,1,2,2,2,1,2,2,1,0,2,0,0,0,0,0,2,1,2,0,0,2,2,2,1,2,2,1,2,2,2,0,0,0,1,0,1,1,1,0,0,2
346,0,0,1,1,2,2,5,7,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,3,0,1,2,0,1,1,1,6,0,0,1,1,0,1,0,2,2,0,0,0,1,1,2,0,0,0,1,0,2,0,2,1,2,1,2,2,1,2,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,1,2,1,2,0,2,1,0,0
347,0,0,0,3,3,0,0,1,70,0,0,0,0,0,0,0,0,0,0,1,2,2,0,5,7,0,0,0,2,4,0,4,0,0,0,2,2,0,0,0,1,2,2,0,1,0,2,2,1,0,2,1,0,0,2,2,0,1,0,1,1,2,0,0,2,1,2,1,1,2,0,0,0,1,0,1,2,0,2,1,0,2,1,1,1,0,1
348,0,0,0,3,0,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,5,3,4,0,0,0,1,2,2,2,1,2,0,0,2,0,0,0,0,0,1,2,1,0,2,2,2,0,2,1,2,2,2,2,2,1,0,0,1,0,0,1,0,2,1,0,2,0,2,1,0,0,2,0,1,1,1
349,0,0,1,1,2,2,6,2,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,2,0,3,3,6,1,0,0,2,1,0,1,0,0,2,2,0,2,1,1,1,0,2,1,0,2,1,2,0,1,0,1,2,2,1,1,0,1,1,1,1,1,2,1,0,1,2,2,0,0,0,2,2,2,2,1,1,0,2,0
350,0,0,0,3,0,5,3,0,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,5,3,4,0,0,0,2,1,1,1,0,2,1,2,0,2,1,2,2,0,2,1,1,0,0,0,1,0,0,0,1,1,2,0,0,1,0,1,2,1,1,2,1,2,0,1,0,1,2,2,2,2,1,1,1,1,1
351,0,0,1,1,2,2,6,2,103,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,2,0,3,3,6,1,0,0,2,0,1,1,1,2,0,1,2,1,1,1,0,0,0,0,0,0,2,2,1,0,1,1,2,0,2,2,2,0,0,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,0,1,0,0,2,2
352,0,0,0,3,0,5,3,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,5,3,4,0,0,2,0,0,2,1,1,2,0,1,0,1,1,0,1,2,0,1,2,2,2,1,2,0,0,0,0,1,2,2,2,2,2,1,1,0,0,0,1,2,2,1,1,1,2,0,1,1,0,2,2,0,1
353,0,1,2,2,4,3,2,3,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,3,4,2,5,5,0,0,1,0,0,0,2,1,2,0,1,0,0,2,0,1,1,0,1,1,0,1,2,2,1,1,1,1,1,0,1,2,0,2,1,1,2,1,0,2,0,0,1,0,2,1,0,1,1,0,2,1,2,1
354,0,1,1,0,1,4,4,4,100,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,1,2,4,0,7,0,0,1,0,2,1,0,0,0,2,1,2,0,2,1,1,2,2,1,1,0,1,0,0,2,1,2,2,0,0,1,1,2,1,1,1,2,2,2,1,1,2,0,0,1,2,1,1,1,2,2,1,0,2
355,0,0,0,3,3,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,0,2,0,5,2,0,0,0,1,0,1,2,1,0,2,1,0,1,2,2,0,1,1,2,0,0,0,1,1,2,0,0,1,1,2,2,2,0,2,2,1,0,2,1,2,1,2,0,2,0,0,1,2,2,0,2,0,2,0,2
356,0,1,1,0,1,0,0,6,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,1,2,0,4,2,0,0,2,1,1,2,1,2,2,2,2,0,0,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,0,0,1,0,1,0,0,1,0,1,2,1,2,0,0,2,0,1,2,0,1,0,0,2,0,0
357,0,1,2,2,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,0,2,0,5,2,0,0,0,1,0,2,1,0,1,0,0,1,2,1,0,2,0,1,0,1,0,1,0,1,1,0,2,1,2,0,0,2,2,1,0,0,0,1,2,0,2,2,0,2,0,2,0,2,0,2,2,1,1,1,0
358,0,0,0,3,0,5,5,7,18,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,2,2,1,1,1,6,0,0,1,0,2,0,2,0,0,0,1,1,2,0,2,2,1,0,2,0,2,2,2,1,1,2,0,2,0,1,1,2,0,1,1,2,0,0,1,1,1,1,2,2,1,1,0,1,1,0,1,0,0,0
359,0,0,0,1,0,5,5,7,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,2,1,1,1,6,0,0,0,2,0,2,2,2,0,2,2,0,1,0,1,1,2,1,1,0,2,0,2,2,0,2,1,2,0,2,2,1,0,1,2,2,0,0,0,0,0,1,2,0,0,0,1,1,2,0,1,2,2,0
360,0,1,2,2,3,1,1,5,76,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,0,2,0,0,2,0,0,0,0,2,1,0,2,0,1,1,2,0,1,0,1,0,2,1,2,1,0,2,0,1,1,2,0,0,2,2,2,0,1,2,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,2,0,1,0
361,0,0,1,0,1,0,0,6,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,1,3,3,6,2,0,0,1,1,2,2,1,1,1,1,0,2,2,0,2,0,2,2,1,1,2,1,2,2,1,2,2,2,2,0,1,2,2,0,0,2,2,0,1,2,1,1,0,1,0,2,0,1,0,1,1,0,0,2
362,0,1,2,2,4,3,2,3,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,3,4,2,4,3,0,0,0,0,0,0,2,1,0,0,2,0,2,1,2,1,1,0,1,0,2,2,1,2,0,1,2,2,2,0,1,0,0,1,0,0,0,2,1,2,1,2,1,2,0,1,1,2,1,0,2,0,1,1
363,0,1,2,2,4,3,2,3,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,3,4,2,5,5,0,0,2,2,0,1,0,1,2,2,2,1,2,0,1,2,2,0,0,0,2,0,2,2,1,2,1,0,2,0,2,1,2,2,0,0,2,2,2,2,2,2,2,0,1,2,0,0,2,0,2,1,2,2
364,0,0,1,1,2,0,6,6,104,0,0,0,0,0,0,0,0,0,1,2,0,4,4,1,2,0,1,1,1,3,3,6,2,0,0,1,2,2,2,0,1,0,1,1,0,2,1,0,0,1,1,2,0,1,0,1,0,2,1,1,2,0,1,1,2,1,0,1,1,1,2,2,1,2,2,0,2,0,2,0,1,1,0,2,0,1,0
365,0,1,2,2,4,3,2,1,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,3,4,0,4,3,0,0,0,0,0,0,0,2,1,1,1,2,1,0,0,0,2,2,0,0,1,1,2,1,1,0,1,2,1,0,0,1,1,1,0,0,2,0,2,0,1,1,2,0,1,2,2,1,2,0,2,0,0,1
366,0,1,1,0,1,0,0,1,82,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,1,1,2,0,4,3,0,0,1,0,0,2,2,2,0,1,0,2,0,0,2,1,2,2,0,0,1,2,0,1,2,0,1,1,2,0,2,2,2,1,1,0,1,1,2,1,0,1,2,0,0,1,2,2,0,2,0,0,1,2
367,0,0,0,3,0,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,2,1,1,1,6,0,0,1,1,0,0,0,0,1,0,0,2,1,1,0,1,0,1,1,0,1,1,1,2,1,2,1,1,2,0,0,1,2,2,0,2,0,1,0,2,1,1,2,1,2,1,1,0,2,0,0,1,1,1
368,0,1,2,2,4,3,2,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,3,4,2,5,5,0,0,0,2,1,1,1,1,2,1,0,1,1,2,2,2,2,2,1,0,1,0,0,0,2,2,0,1,2,1,1,1,0,2,2,0,1,2,0,0,2,1,0,1,0,0,2,0,0,1,1,0,1,1
369,0,0,0,3,0,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,2,1,1,1,6,0,0,1,2,1,0,1,2,1,0,0,2,0,0,1,1,0,1,2,0,2,0,1,0,0,2,2,2,2,2,0,2,1,0,2,0,0,2,1,1,2,0,2,2,2,2,0,0,0,1,2,0,1,2
370,0,1,2,2,4,3,2,3,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,3,4,2,5,5,0,0,0,2,0,1,1,1,0,0,2,1,2,0,2,2,1,1,0,0,2,1,2,2,0,1,1,1,0,1,0,2,2,1,2,1,0,0,1,2,2,0,0,2,2,0,0,1,0,0,2,1,1,0
371,0,1,1,0,1,0,0,6,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,1,2,0,4,2,0,0,0,2,2,2,1,1,1,2,1,2,0,0,1,1,2,1,2,0,0,2,1,2,1,2,1,2,1,1,1,0,2,1,0,1,0,0,2,1,2,2,2,2,0,1,2,1,1,1,1,1,2,2
372,0,1,1,0,1,4,4,4,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,1,2,4,0,7,0,0,0,1,0,0,2,2,2,2,0,1,1,0,0,1,2,0,2,0,2,2,1,0,1,2,2,2,2,0,0,1,1,1,2,1,2,1,1,2,2,2,1,0,0,1,2,2,2,0,0,0,2,0
373,0,1,2,2,3,1,1,1,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,0,3,4,0,4,0,0,0,2,2,2,0,2,2,1,0,0,0,0,1,0,2,1,0,0,1,1,1,0,1,1,0,1,2,2,2,1,1,0,0,0,1,1,1,2,0,1,1,1,0,2,0,1,0,1,0,0,0,0,0
374,0,0,0,3,0,5,3,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,5,3,4,0,0,2,2,2,0,0,1,2,2,2,2,0,1,1,0,2,2,0,0,1,2,1,1,0,1,0,0,1,0,2,1,1,2,2,0,0,2,2,2,2,0,0,0,0,0,2,0,2,2,1,0,2,0
375,0,1,2,2,4,3,2,3,-1,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,3,4,2,5,5,0,0,2,2,0,2,1,0,2,1,0,2,0,1,1,1,2,0,0,0,2,2,1,0,0,2,2,0,2,0,0,2,0,0,2,1,0,1,1,0,2,0,2,1,2,1,1,2,0,2,2,0,2,0
376,0,1,2,2,3,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,1,1,2,0,4,3,0,0,0,0,1,2,1,2,2,0,1,0,2,1,0,2,1,1,2,1,2,2,0,2,0,0,1,1,1,2,0,0,2,1,0,2,1,1,0,2,0,0,0,2,0,1,1,0,0,2,1,0,2,0
377,0,1,2,2,3,1,1,3,47,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,0,0,3,4,2,2,0,0,0,1,1,2,2,0,2,1,1,2,2,2,0,2,0,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,2,2,1,2,0,1,1,1,2,0,1,1,2,1,2,1,1,2,0,2
378,0,1,2,2,4,3,2,3,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,3,4,2,5,5,0,0,0,2,0,2,0,0,2,0,1,1,2,1,2,1,1,2,0,2,0,2,2,2,2,2,1,2,1,2,0,1,0,1,2,2,1,0,1,0,2,1,1,0,0,2,2,2,2,2,0,2,2,1
379,0,1,1,0,1,4,4,4,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,1,2,4,0,7,0,0,2,2,0,2,1,2,0,1,0,2,2,2,0,1,0,2,0,1,1,2,0,2,1,2,2,0,0,1,0,1,0,0,2,1,2,1,0,1,0,2,0,0,2,1,0,0,1,0,2,0,2,2
380,0,1,1,0,1,4,4,4,69,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,1,2,4,0,7,0,0,2,0,0,0,1,1,0,0,2,0,1,1,2,0,1,0,0,2,1,2,1,1,0,2,1,0,2,2,2,0,1,0,0,2,2,0,0,0,0,0,1,0,2,0,0,1,2,0,1,0,0,1
381,0,0,1,1,2,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,1,2,0,3,0,4,2,0,0,1,1,2,0,1,0,1,1,0,2,0,2,0,0,2,1,2,2,2,2,0,0,0,1,1,1,1,2,0,1,0,1,2,1,1,0,1,1,1,0,0,1,2,0,2,0,1,2,2,0,1,1
382,0,0,0,1,2,2,5,2,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,2,0,1,1,1,6,0,0,1,2,2,1,1,2,1,1,1,2,0,0,1,1,0,1,2,0,2,0,0,1,0,2,0,2,1,0,2,1,1,1,1,1,2,2,1,2,1,0,1,2,0,1,1,2,0,2,1,1,0,1
383,0,0,0,3,0,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,2,1,1,1,6,0,0,0,2,0,0,0,1,1,0,2,2,0,2,1,1,1,2,1,2,1,1,0,2,0,1,2,0,1,1,2,2,0,2,2,1,2,1,2,2,2,2,1,0,1,0,0,0,1,2,1,2,2,0
