,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45
387,0,1,2,0,1,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,2,2,3,3,1,1,0,0,1,1,2,2,2,0,0,0,3,1,3,1,2,0,2,0,2,3,0,1,1,3,0,0,1,3,1,2,2,0,2,0,3,3,1,2,3,1,1,1,0,1,2,0,1
388,0,0,0,1,0,2,1,4,97,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,2,3,3,2,3,0,1,0,0,3,2,0,0,3,1,3,2,1,0,2,0,1,2,0,3,1,2,0,2,3,2,2,2,3,0,0,2,0,1,2,1,2,2,1,1
389,0,0,1,1,0,2,1,4,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,0,2,2,7,0,0,1,3,3,1,2,0,0,3,3,0,1,0,3,1,0,3,3,3,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,3,2,2,0,1,1,2,1,1,3,3,3
390,0,0,0,1,0,2,1,0,106,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,0,4,5,3,0,0,0,0,2,3,2,0,3,1,0,3,3,2,0,3,3,2,2,2,2,1,3,3,2,2,1,1,3,1,0,2,1,0,2,0,1,3,3,0,1,0,0,2,3,2,2,2
391,0,0,1,3,2,5,6,2,107,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,1,0,1,0,2,3,3,1,1,0,0,1,3,0,2,1,1,2,1,0,0,1,3,0,3,2,2,0,0,2,2,0,3,3,3,3,3,1,3,1,3,1,0,1,0,0,0,2,0,2,3,3,0,0,1,3
392,0,1,2,0,4,3,0,1,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,1,1,3,0,3,3,3,0,3,0,1,1,0,2,1,3,2,1,1,0,1,1,3,0,3,2,0,0,1,3,2,0,2,1,3,3,1,2,2,3,0,3,1,1,0
393,0,0,1,1,0,2,1,4,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,0,2,2,7,0,0,2,0,1,2,1,0,2,3,3,0,3,3,1,1,3,0,0,2,2,3,3,3,2,0,3,3,1,0,1,1,2,0,0,3,2,1,0,1,1,3,0,0,1,2,0
394,0,1,2,0,4,3,0,1,71,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,1,3,1,1,0,1,2,2,0,2,2,0,1,0,3,0,0,1,1,3,3,2,1,0,3,3,2,0,2,1,0,0,1,0,2,2,2,2,2,3,0,1,2,1,0
395,0,0,0,1,0,2,1,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,0,4,5,3,0,0,0,0,2,0,0,2,1,3,3,2,3,2,1,3,2,1,3,2,1,3,0,3,0,1,1,3,0,3,3,0,1,0,2,0,1,3,3,0,0,2,0,3,1,1,1,0
396,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,0,0,0,4,1,5,0,0,0,0,2,1,2,1,3,1,2,0,1,0,3,2,0,1,3,1,1,3,1,2,3,0,3,3,3,1,0,3,3,0,0,2,3,1,3,0,0,3,1,3,3,2,3,2
397,0,1,2,0,4,3,0,1,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,0,0,2,3,2,3,2,3,3,1,2,2,2,1,1,2,1,2,2,0,1,1,0,1,3,0,3,1,2,0,1,2,2,0,0,2,0,0,3,1,1,2,2,1,0
398,0,0,0,1,0,2,1,4,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,1,2,3,3,2,0,0,0,1,2,0,3,0,0,1,0,0,3,2,2,2,2,0,1,0,0,2,3,2,1,1,1,2,3,0,3,2,0,2,1,0,1,1,1,1
399,0,0,1,3,2,1,6,2,96,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,1,0,1,3,0,2,1,0,0,2,0,2,1,3,2,3,2,1,1,2,3,3,0,0,3,3,0,1,0,3,2,2,1,2,0,3,3,0,1,0,0,1,1,3,3
400,0,0,0,1,0,2,1,4,63,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,1,2,2,1,1,1,0,1,0,2,2,0,0,0,0,2,3,1,0,3,0,2,2,1,0,2,2,3,0,0,3,1,3,2,1,1,1,3,3,3,2,1,1,2,0
401,0,1,2,0,4,3,0,1,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,2,3,0,3,0,0,3,0,3,0,1,2,0,3,1,3,1,2,3,1,2,2,3,0,2,2,2,2,0,0,1,1,0,0,3,2,2,1,1,0,1,3,1,2,2
402,0,0,0,1,0,2,1,4,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,1,2,2,3,2,3,3,2,2,1,0,3,3,1,1,1,0,0,3,1,1,1,1,0,3,3,0,1,2,1,2,2,3,0,3,1,2,0,3,0,2,0,3,1,3
403,0,1,0,2,3,4,4,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,3,2,0,0,0,3,1,0,2,2,0,0,2,1,0,1,3,2,1,0,3,3,0,3,0,0,2,0,2,1,2,1,1,2,3,0,2,1,1,0,3,1,2,3,0
404,0,1,2,0,1,5,5,6,108,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,2,2,3,1,1,1,0,0,2,0,0,2,1,3,2,1,1,3,3,0,0,1,0,2,1,2,3,1,3,1,1,2,3,2,0,0,0,1,0,2,2,3,0,3,3,1,2,1,1,0,1,3,1
405,0,1,0,2,3,4,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,1,3,2,1,3,2,0,1,2,1,3,0,0,1,2,3,2,0,0,3,3,1,0,1,0,1,0,2,0,3,3,3,2,2,2,1,3,1,0,1,1,0,2,0,2
406,0,0,1,3,2,5,6,2,107,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,1,0,1,0,2,3,3,0,1,0,0,3,1,0,0,3,2,1,0,0,2,3,0,0,2,0,1,3,0,1,3,1,3,0,1,1,2,2,2,2,1,1,1,3,1,1,3,0,2,2,0,2,3,0,3,3
407,0,1,2,2,3,0,3,3,29,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,7,0,1,1,1,2,1,5,6,0,0,1,3,3,3,3,0,0,0,0,0,0,2,1,0,2,1,0,0,2,3,1,0,0,3,0,0,3,0,1,1,0,3,3,1,2,2,3,1,1,3,0,1,1,2,3
408,0,0,1,3,2,1,6,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,2,0,1,0,2,0,3,1,1,0,1,1,0,2,0,2,1,0,0,0,3,0,3,1,2,2,2,0,0,0,1,2,2,0,2,0,3,0,1,1,2,0,0,2,2
409,0,1,0,2,3,4,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,2,0,3,3,2,3,1,2,1,3,2,0,3,1,3,0,1,3,3,3,0,2,1,1,3,2,0,1,2,3,0,1,0,1,2,2,1,2,1,3,0,0,1,1,0
410,0,1,0,2,3,4,4,5,109,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,0,1,2,1,0,2,0,2,3,2,2,3,1,1,1,2,2,3,0,1,3,3,2,1,0,0,0,1,0,0,2,1,3,0,2,2,1,2,0,0,3,0,2,1,1
411,0,1,0,2,3,0,3,0,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,1,2,1,5,0,0,0,3,0,2,2,2,2,2,0,0,3,1,2,2,0,0,2,1,1,1,3,1,1,2,0,0,0,0,1,0,2,3,3,2,2,0,3,1,3,0,3,1,2,3,3,0
412,0,1,2,0,1,0,5,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,2,3,1,1,5,1,0,0,2,2,2,0,2,0,1,0,2,3,0,1,0,1,0,0,2,2,3,0,3,0,2,0,3,1,1,2,0,3,3,1,0,1,0,2,0,3,0,1,0,0,2,1,2
413,0,0,1,3,2,1,6,2,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,1,3,1,2,0,0,0,1,1,0,3,3,2,1,2,3,1,0,0,1,3,3,2,1,3,0,1,1,2,2,2,1,0,1,2,3,1,2,2,0,2,3,0,0,2
414,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,0,4,1,3,0,0,0,3,1,0,1,3,2,1,2,1,2,0,3,0,3,1,1,3,1,1,3,1,0,1,2,1,2,3,2,1,1,3,1,2,1,2,0,0,0,2,3,0,1,0,2,2
415,0,1,2,0,4,3,0,3,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,3,1,1,5,6,0,0,3,1,2,1,0,2,1,2,2,3,1,1,0,3,1,1,1,1,0,0,0,1,0,2,0,1,0,0,3,3,1,2,2,2,0,3,1,0,2,0,0,3,1,0,0
416,0,0,0,1,0,2,1,0,73,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,0,4,5,3,0,0,0,1,0,3,2,2,0,3,3,1,2,3,0,2,2,1,1,0,2,3,2,2,3,1,2,2,0,1,1,3,3,0,0,0,2,1,1,3,2,3,2,2,1,0,0,1
417,0,1,2,2,3,4,4,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,1,2,2,0,0,3,2,3,2,2,2,2,0,3,1,1,2,1,2,2,1,0,0,2,3,1,2,2,0,2,0,2,2,3,3,0,2,0,1,2,2,0,0,1,2
418,0,0,0,1,0,2,1,4,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,1,1,2,2,3,0,3,1,0,2,3,2,1,0,3,2,3,2,1,1,2,0,2,0,0,2,3,0,2,3,1,1,2,2,0,2,2,0,2,2,1,0,2,0,1
419,0,1,0,2,3,4,3,5,85,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,1,5,0,0,0,2,1,2,2,3,2,1,2,1,1,0,2,0,0,3,0,3,2,0,2,2,3,2,2,1,2,1,0,2,1,2,1,2,1,3,3,3,2,2,2,1,3,3,0,2
420,0,0,1,3,2,1,6,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,3,0,1,0,2,3,3,1,1,0,0,0,0,0,0,2,3,2,2,0,0,3,0,1,1,2,3,2,1,1,3,2,1,1,1,1,3,1,3,2,2,1,2,0,0,0,1,1,0,1,0,2,1,3,2,2
421,0,1,2,0,1,5,5,6,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,3,3,3,1,1,0,0,1,1,0,0,0,3,2,1,0,2,0,0,2,0,2,1,3,3,3,0,1,2,2,0,2,0,1,2,3,1,3,1,0,1,3,2,0,2,0,1,2,0,0,2,3
422,0,0,1,3,2,1,6,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,2,2,3,3,0,3,3,1,3,0,2,2,2,3,2,0,2,1,1,2,2,3,3,2,3,0,2,0,1,1,2,2,1,1,0,1,2,3,3,0,2,2,3,3,0
423,0,0,1,3,2,1,6,2,96,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,2,0,0,1,0,0,1,2,1,0,0,3,3,3,2,1,3,2,1,0,0,2,3,3,0,0,2,1,2,2,1,1,1,2,2,3,1,3,0,2,2,0,2,3,3
424,0,1,0,2,3,4,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,2,3,0,1,1,2,3,1,2,1,3,1,3,3,3,3,0,1,3,1,3,3,0,0,2,2,1,0,1,2,3,3,3,3,3,2,1,1,1,1,2,3,3,1,0
425,0,0,1,3,2,1,2,6,12,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,3,0,1,0,2,3,3,1,1,0,0,2,3,2,3,3,1,1,0,0,0,0,2,2,0,1,0,3,3,3,2,0,3,1,1,1,2,2,3,2,1,2,3,3,0,2,0,2,0,0,0,1,1,2,1,0
426,0,0,1,3,2,1,6,2,59,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,0,0,3,0,2,1,1,3,3,3,1,2,3,0,3,2,3,1,2,3,3,0,0,2,0,1,1,0,2,3,1,1,0,1,1,3,0,3,0,2,2,1,3,2,2
427,0,1,0,2,3,0,3,0,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,1,2,1,5,0,0,0,0,2,1,3,0,0,1,0,0,1,1,2,0,2,0,3,1,3,2,3,2,2,3,2,1,3,1,2,0,3,2,2,1,2,1,1,2,1,0,1,0,3,2,1,1
428,0,1,2,2,3,0,3,3,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,1,2,1,5,6,0,0,2,1,3,3,2,0,1,2,0,2,0,1,2,3,1,0,0,0,2,0,2,1,1,2,2,3,2,3,0,2,0,3,3,1,0,3,0,1,0,1,1,1,3,3,1
429,0,0,0,1,0,2,1,4,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,0,2,0,3,3,2,2,1,2,2,2,2,1,1,0,3,3,3,3,0,3,2,2,0,1,2,2,3,2,1,0,3,3,2,2,3,2,2,2,0,3,1,1,1,2
430,0,0,0,1,0,0,3,0,-1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,1,0,4,5,3,0,0,0,2,0,0,0,3,0,2,1,0,1,0,2,3,3,2,2,0,2,0,3,0,1,1,2,3,1,0,1,2,1,3,2,0,2,2,1,0,1,1,2,1,0,2,3,0
431,0,0,0,1,0,2,1,0,110,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,0,4,5,3,0,0,0,1,3,1,3,2,0,1,3,1,2,2,0,0,2,1,0,2,1,2,1,2,3,2,0,0,2,1,3,1,2,2,3,2,1,1,0,1,2,3,3,0,2,3,0,1
432,0,1,0,2,3,4,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,3,2,2,3,2,1,1,0,0,3,3,3,2,0,2,3,3,1,2,3,3,0,2,3,1,0,3,2,1,1,0,3,1,1,0,3,0,2,1,0,3,1,1,2,3
433,0,0,1,3,2,1,2,7,79,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,0,2,2,5,0,0,1,2,0,1,3,2,1,2,1,1,2,3,0,0,1,0,0,1,1,1,0,1,2,1,2,2,3,1,3,3,3,0,1,0,1,0,0,0,3,2,3,1,1,2,3
434,0,1,0,2,3,0,3,0,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,1,2,1,5,0,0,0,2,1,3,2,0,1,3,0,2,1,0,3,1,2,0,3,0,1,0,0,3,2,1,0,2,2,2,1,2,2,0,1,2,0,0,0,1,0,3,2,2,3,2,2,1
435,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,0,0,0,4,1,5,0,0,0,1,1,3,2,1,3,1,0,3,0,3,0,1,1,3,0,0,0,0,1,0,1,3,3,1,3,0,3,1,1,3,3,3,0,3,3,3,0,2,0,1,1,0,2,1
436,0,1,0,2,3,0,3,0,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,1,2,1,5,0,0,0,3,1,3,1,1,0,1,1,1,1,3,0,0,1,1,2,1,3,0,0,0,3,2,0,2,3,2,0,2,2,2,2,2,2,2,1,3,1,2,1,2,1,0,3,3
437,0,1,0,2,3,4,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,2,3,0,3,3,3,1,2,0,0,1,1,1,2,3,1,1,1,0,3,3,1,1,2,2,2,1,1,1,3,1,1,2,1,1,0,2,1,3,3,2,1,0,0,3
438,0,0,0,1,0,2,1,4,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,1,2,2,0,0,2,2,3,1,3,0,3,2,1,0,3,3,1,3,2,1,0,0,3,0,2,0,0,3,1,0,0,2,3,2,2,1,3,0,0,3,1,0,2,2
439,0,1,2,0,1,0,5,3,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,2,3,1,1,5,6,0,0,1,3,2,1,2,3,1,3,1,0,1,1,1,2,3,3,0,2,0,1,3,0,3,1,3,0,1,1,0,0,3,3,0,2,2,0,2,1,1,3,1,3,2,3,3
440,0,1,2,0,4,3,0,3,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,3,1,4,5,6,0,0,3,3,2,1,2,1,2,2,1,1,0,0,3,1,3,3,1,0,2,3,3,2,1,0,2,3,0,0,0,2,3,1,0,2,3,3,2,1,1,1,2,2,2,0,3
441,0,1,0,2,3,4,3,0,111,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,2,0,0,1,1,2,1,5,0,0,0,1,0,2,1,0,1,1,2,3,0,2,2,1,0,2,3,1,3,0,3,0,0,3,0,1,2,0,2,3,3,0,3,2,0,3,0,1,0,2,2,0,1,0,1,3
442,0,1,1,3,1,5,5,6,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,2,2,3,3,1,1,0,0,2,0,2,2,0,2,0,1,0,2,0,1,2,3,3,2,1,3,2,0,2,2,1,0,3,1,1,2,1,3,1,2,2,1,0,0,1,1,0,3,1,3,3,1,3
443,0,0,0,1,0,2,1,4,61,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,1,1,3,1,3,0,2,0,3,3,3,0,2,1,1,0,0,2,3,0,1,0,0,1,2,1,1,2,0,2,2,0,3,0,0,2,2,1,1,0,3,1,0,1,0
444,0,0,0,2,3,0,3,0,112,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0,0,1,1,2,1,5,0,0,0,1,3,1,0,3,1,1,3,2,3,0,3,1,2,0,1,1,0,2,1,2,2,1,3,2,2,3,1,2,2,0,2,3,3,2,3,2,2,3,0,3,3,0,3,1
445,0,1,2,0,1,5,5,6,108,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,2,2,3,1,1,1,0,0,3,0,1,1,3,1,2,0,3,3,0,2,2,3,3,2,0,2,1,0,0,0,0,3,2,0,2,1,0,1,1,0,0,1,0,3,3,0,0,1,2,1,2,3,1
446,0,0,1,3,2,1,6,2,113,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,0,3,1,1,0,0,2,0,2,0,2,1,3,3,2,0,1,2,2,1,0,3,0,1,1,2,2,2,3,0,2,3,1,2,1,2,0,3,0,3,1,3,1,3,2
447,0,1,0,2,3,4,3,5,85,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,5,0,0,1,1,2,1,5,6,0,0,2,0,3,1,2,0,1,3,3,3,3,1,1,3,1,3,3,3,0,1,1,3,3,1,2,0,0,1,2,0,3,1,3,2,0,1,2,2,2,3,3,0,2,1,1
448,0,1,2,2,3,4,4,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,2,0,0,3,1,3,3,0,3,3,0,1,0,3,1,0,3,0,2,1,0,3,1,0,2,1,2,3,0,1,2,1,3,1,2,3,1,0,3,3,1,3,3,2,0,0,0,3
449,0,0,1,3,2,1,6,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,2,1,3,2,2,3,1,3,2,0,2,1,3,1,1,0,2,1,3,2,3,0,2,1,0,1,3,3,1,0,3,0,1,1,3,2,0,1,3,0,1,1,3,3,3
450,0,1,2,0,4,3,0,1,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,2,3,3,1,0,3,3,0,1,3,0,2,3,3,2,2,2,0,0,2,2,0,0,3,3,1,3,0,0,1,1,0,1,1,2,2,3,3,3,1,2,3,1,0,2
451,0,0,1,3,2,1,6,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,3,3,0,4,0,0,1,2,2,1,1,3,1,2,0,1,1,1,3,3,1,3,1,2,2,2,1,3,3,3,3,0,3,0,0,0,2,0,0,2,3,1,0,0,2,2,0,3,0,3,2
452,0,0,1,3,2,1,2,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,0,2,2,5,0,0,3,2,2,0,3,1,3,3,0,3,2,1,2,1,1,2,2,2,1,2,1,3,1,0,1,3,1,2,2,1,0,0,0,3,0,3,1,3,2,2,1,2,2,3,0
453,0,0,0,1,0,2,1,4,103,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,3,1,0,3,3,1,3,3,1,0,2,3,1,2,3,0,2,0,3,0,2,0,1,0,1,2,1,3,1,1,1,2,2,1,2,1,3,1,2,2,1,2,0,0,0
454,0,0,0,1,0,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,0,4,1,5,0,0,0,2,1,0,1,0,0,2,3,2,0,1,0,2,0,1,3,1,0,3,0,0,2,3,3,1,2,2,1,3,3,0,1,3,1,1,0,3,2,3,2,0,2,0,1,3
455,0,1,1,3,1,5,5,6,114,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,2,2,3,3,1,1,0,0,0,0,2,0,2,3,3,3,0,3,3,2,1,0,1,0,0,0,3,3,1,2,1,2,3,3,1,2,3,0,0,2,1,2,0,3,3,0,3,2,0,3,2,0,1
456,0,1,0,2,3,0,3,0,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,1,4,1,3,0,0,0,1,1,2,3,1,2,1,0,0,3,3,3,0,0,0,1,1,1,3,0,3,0,0,3,1,3,2,0,2,2,0,3,3,3,3,0,3,3,0,0,0,2,3,0,0
457,0,1,2,2,3,0,3,3,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,1,2,1,5,6,0,0,0,1,3,1,1,3,3,3,2,3,2,1,1,2,3,0,2,0,0,1,2,0,2,1,0,0,2,2,3,3,0,2,0,2,3,0,0,0,1,1,1,2,1,0,1
458,0,1,0,2,3,0,3,0,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,1,2,1,5,0,0,0,3,0,0,2,2,3,3,0,0,0,3,3,3,1,2,0,2,1,1,1,0,0,1,0,0,3,3,1,1,0,0,2,0,2,3,2,0,3,3,1,3,0,0,3,1
459,0,1,0,2,3,0,3,0,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,1,2,1,5,0,0,0,1,0,0,0,0,1,1,3,0,1,1,0,1,2,3,2,1,0,1,1,3,1,3,2,0,2,0,0,1,2,3,1,0,3,0,0,3,0,0,1,0,2,2,0,2
460,0,1,2,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,3,1,4,4,3,0,0,3,2,2,2,0,3,1,2,1,2,3,0,1,3,1,1,1,3,1,2,1,0,3,1,0,1,1,3,2,0,2,1,0,3,1,0,1,3,1,3,0,1,0,1,0
461,0,0,0,1,0,2,1,4,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,0,1,3,2,0,0,2,2,2,2,0,3,0,1,0,3,2,0,1,0,2,1,3,3,3,3,1,2,1,0,2,2,1,3,2,1,0,0,0,2,3,3,0,2,3
462,0,0,1,1,0,2,2,7,67,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,0,0,0,0,2,2,5,0,0,1,3,3,3,1,0,2,0,2,1,3,2,1,0,2,2,2,1,1,3,1,1,3,2,2,2,2,3,2,3,0,0,3,3,1,1,0,1,3,1,1,3,3,3,2
463,0,1,0,2,3,4,3,5,62,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,1,2,0,6,0,0,0,0,1,2,3,3,1,3,0,0,2,3,0,1,1,3,3,3,2,1,2,1,3,2,0,0,2,1,0,0,2,1,3,2,3,3,3,0,0,2,2,3,1,1,2,0
464,0,0,0,1,0,2,1,4,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,4,5,3,7,0,0,0,1,3,1,3,3,3,2,1,0,0,2,1,3,3,2,0,1,3,1,0,3,3,0,1,3,1,3,1,1,0,3,1,3,3,3,1,3,3,0,0,2,0,0,1
465,0,0,0,1,0,2,1,0,94,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,0,4,5,3,0,0,0,2,0,3,3,1,2,2,0,2,1,2,1,3,3,3,3,2,0,3,3,0,3,3,1,1,2,1,2,1,2,0,2,1,0,1,2,2,1,1,3,1,0,0,2,0
