,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57,random_model_n58,random_model_n59,random_model_n60
323,0,1,0,1,0,5,1,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,4,2,3,4,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1
324,0,1,0,1,0,5,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,6,2,0,1,0,0,4,2,3,4,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0
325,0,0,2,0,3,4,0,4,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,1,2,0,1,0,5,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1
326,0,1,0,1,0,5,6,1,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,1,2,1,4,2,5,7,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
327,0,0,1,2,4,0,3,7,16,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,1,0,0,2,3,1,2,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
328,0,0,1,2,1,1,5,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,1,3,1,0,6,6,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
329,0,1,0,3,2,2,2,5,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,1,2,1,4,2,5,7,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1
330,0,0,2,0,3,4,0,4,-1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,1,3,1,1,0,3,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0
331,0,0,2,0,3,4,0,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,0,1,3,1,1,0,3,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1
332,0,1,0,3,2,2,2,5,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,1,2,1,4,2,5,7,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1
333,0,0,1,2,1,1,0,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,0,1,3,1,1,0,3,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1
334,0,1,0,1,0,0,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,1,0,0,4,2,3,4,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
335,0,1,0,1,0,5,6,1,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,4,2,3,4,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0
336,0,1,0,3,4,3,4,6,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,0,1,2,0,5,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1
337,0,0,1,2,1,1,5,2,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,1,3,1,0,6,6,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1
338,0,1,0,3,2,2,6,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,0,0,1,2,1,4,2,5,7,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0
339,0,1,0,3,2,2,6,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,0,0,1,2,1,4,2,5,7,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
340,0,1,0,3,2,2,2,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,2,1,3,4,4,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0
341,0,0,1,2,1,1,5,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,1,3,1,0,6,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1
342,0,0,1,2,1,1,5,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,1,3,1,0,6,6,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0
343,0,0,2,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,1,2,0,1,0,5,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
344,0,1,0,3,2,2,2,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,2,1,3,4,4,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1
345,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,1,2,0,1,0,5,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0
346,0,1,0,3,2,2,2,5,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,1,2,1,4,2,5,7,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
347,0,1,0,3,2,2,2,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,2,1,3,4,4,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1
348,0,0,1,2,4,0,3,7,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,1,0,0,2,3,1,2,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0
349,0,0,1,2,1,1,5,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,1,3,1,0,6,3,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
350,0,1,0,3,2,2,2,5,-1,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,2,1,3,4,4,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
351,0,1,0,3,4,3,4,6,6,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,7,0,0,1,2,0,5,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1
352,0,0,2,2,1,4,0,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,0,1,3,1,1,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
353,0,1,0,1,0,5,6,1,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,1,2,1,4,2,5,7,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0
354,0,1,0,3,2,2,2,5,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,1,2,1,4,2,5,7,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
355,0,0,2,0,3,4,0,4,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,1,3,1,1,0,3,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
356,0,1,1,1,4,0,3,7,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,1,0,0,2,3,1,2,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
357,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,1,2,0,1,0,5,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1
358,0,0,1,2,4,0,3,7,16,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,1,0,0,2,3,1,2,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0
359,0,0,1,2,1,1,5,2,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,3,0,0,1,3,1,0,6,3,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
360,0,1,2,3,4,3,4,6,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,0,1,2,0,5,2,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1
361,0,0,2,0,3,4,0,4,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,1,3,1,1,0,3,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1
362,0,1,0,1,0,5,1,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,4,2,3,4,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1
363,0,1,0,3,2,2,2,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,2,1,3,4,4,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
364,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,5,0,0,1,2,0,1,0,5,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1
365,0,1,0,1,0,5,6,1,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,4,2,3,4,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1
366,0,1,2,3,4,3,4,6,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,0,1,2,0,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
367,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,1,2,0,1,0,5,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
368,0,1,1,1,4,0,3,7,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,1,0,0,2,3,1,2,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0
369,0,0,2,0,3,4,0,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,0,1,3,1,1,0,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1
370,0,1,0,1,0,5,1,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,4,2,3,4,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0
371,0,1,0,1,0,5,1,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,4,2,3,4,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0
372,0,0,1,2,1,1,5,2,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,1,3,1,0,6,6,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1
373,0,0,2,0,3,4,0,4,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,1,2,0,1,0,5,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0
374,0,0,2,0,3,4,0,4,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,1,3,1,1,0,3,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0
375,0,1,0,1,0,5,6,1,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,1,2,1,4,2,5,7,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
376,0,0,1,2,1,1,5,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,1,3,1,0,6,6,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1
377,0,1,0,3,4,3,6,6,12,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,7,0,0,1,2,0,5,2,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1
378,0,0,2,0,3,4,0,4,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,1,2,0,1,0,5,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0
379,0,1,2,3,4,3,4,6,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,0,1,2,0,5,2,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
380,0,1,0,3,2,2,2,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,2,1,3,4,4,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
381,0,1,0,1,0,5,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,6,2,0,1,0,0,4,2,3,4,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1
382,0,1,0,3,4,3,4,6,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,0,1,2,0,5,2,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0
383,0,1,0,3,2,2,2,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,2,1,3,4,4,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
384,0,1,0,1,0,5,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,6,2,0,1,0,0,4,2,3,4,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1
385,0,0,1,2,4,0,3,7,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,1,0,0,2,3,1,2,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
386,0,1,0,1,0,5,1,3,2,1,1,1,1,0,0,0,0,0,0,1,0,3,2,6,2,0,1,0,0,4,2,3,4,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0
387,0,0,2,0,3,3,4,0,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,1,2,0,5,2,5,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1
388,0,0,1,2,1,1,0,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,0,1,3,1,1,0,3,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1
