,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55
338,0,0,1,0,1,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,2,1,1,3,0,1,2,0,1,2,1,2,2,2,2,2,0,2,0,1,1,2,0,0,2,2,0,0,1,1,0,2,2,1,0,2,0,1,1,1,2,0,1,2,0,1,2,0,1,1,0,1,1,0,2,1,2,2,0,0,0,1
339,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,2,2,1,1,2,0,2,0,1,0,0,0,2,1,0,2,1,2,0,2,2,1,1,1,0,1,2,0,2,2,0,0,2,2,2,2,1,0,1,0,2,0,2,2,0,2,2,2,0,2,2,0,2,2,2,1
340,0,0,1,0,1,5,0,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,0,2,1,1,3,4,1,-1,1,0,0,0,2,0,1,2,1,1,1,0,1,0,0,1,1,2,0,0,0,1,1,2,0,1,2,0,1,2,2,2,2,2,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,1,2,2,2,2
341,0,0,1,0,1,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,0,2,1,1,3,4,1,2,0,0,2,1,0,1,1,0,0,0,2,2,2,0,2,0,2,0,2,2,1,1,2,0,0,2,1,2,1,0,0,1,2,1,0,2,2,0,0,0,0,1,2,2,0,0,2,1,0,0,2,1,2,2,2
342,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,4,4,5,6,0,-1,2,2,2,0,2,2,1,2,0,2,1,1,1,0,0,2,1,1,2,0,0,0,0,1,1,2,2,1,2,2,1,2,2,2,1,1,2,0,2,2,1,0,0,0,2,1,0,0,2,0,0,1,0,0,2
343,0,1,2,2,3,3,6,2,19,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,1,2,3,2,0,0,3,2,1,1,0,1,2,2,2,2,2,0,0,0,0,2,2,0,2,2,1,2,0,2,0,2,0,1,0,0,2,1,0,0,1,1,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,2,2,2,2,2,2,1
344,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,2,2,0,0,2,0,1,2,1,0,2,1,2,1,2,1,2,2,0,2,1,0,1,0,1,1,0,1,1,2,0,2,1,0,2,1,1,1,0,0,0,1,2,2,2,0,0,1,1,1,2,1,2,2,1,1,0,1,0
345,0,0,1,0,1,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,2,1,1,3,4,1,2,0,0,0,1,2,2,2,0,1,2,0,0,1,1,2,2,0,0,0,0,2,0,0,0,2,1,2,0,1,0,0,0,0,2,2,0,2,2,1,1,1,0,2,2,0,1,0,0,1,2,0,2,1,0,0
346,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,2,2,2,0,0,0,0,2,0,1,0,2,1,1,0,0,0,2,0,0,1,1,0,1,1,1,2,1,0,1,1,1,2,1,0,2,0,1,1,0,1,1,1,0,0,0,1,0,0,0,2,1,1,1,1,2
347,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,2,0,2,2,1,2,1,0,2,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,2,2,2,1,1,0,1,0,2,0,0,0,2,1,1,2,2,2,0,1,1,0,0,1,2,0,2,0,2,2,1
348,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,2,0,2,0,0,0,0,2,2,0,1,0,1,1,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1,0,1,1,1,2,1,1,2,1,1,0,0,0,2,1,0,0,2,0,0,0,1,0
349,0,1,2,3,2,3,6,6,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,4,0,2,0,1,2,3,2,0,0,3,2,1,1,1,2,1,0,0,2,1,0,0,2,2,2,1,1,2,0,2,1,0,0,2,0,2,2,0,0,1,0,1,1,2,0,2,0,0,1,1,0,2,0,0,1,1,2,2,2,2,0,2,0,0,0,0,2
350,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,-1,0,2,0,0,2,2,2,1,0,1,1,1,1,2,1,2,0,1,0,2,0,1,1,2,1,0,0,0,0,2,2,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,1
351,0,1,2,2,3,3,6,2,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,1,2,3,2,5,6,1,2,1,0,1,1,0,1,1,2,1,1,0,2,0,2,2,0,2,1,2,1,0,1,1,0,0,0,1,1,1,2,1,2,1,0,0,2,2,0,1,2,2,0,2,2,2,1,1,0,1,0,2,2,1,0,2,2
352,0,1,2,2,3,3,3,7,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,1,2,3,2,0,0,3,2,1,1,2,2,2,0,0,0,1,2,0,2,1,1,1,0,2,1,0,2,1,2,1,2,1,0,2,0,2,0,1,1,0,0,2,2,0,0,0,0,2,1,0,1,1,1,2,1,2,2,0,1,1,2,2,1
353,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,-1,2,2,1,1,0,2,2,2,1,0,0,2,1,2,2,0,2,0,2,2,1,2,0,1,2,2,1,1,1,0,1,0,0,1,1,2,1,0,1,0,1,2,1,2,1,1,0,1,1,0,0,2,2,0,0
354,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,0,1,2,2,1,1,1,2,1,0,2,2,2,2,2,0,1,2,1,1,0,2,2,1,1,2,0,1,2,0,0,2,0,0,1,2,2,0,0,0,1,0,2,2,2,0,1,2,0,2,2,2,1,2,0,1,0,1
355,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,-1,2,0,0,2,2,2,1,2,1,2,0,1,2,1,2,2,2,1,1,0,1,0,1,1,0,0,0,0,0,2,0,1,0,1,2,1,2,2,1,1,0,0,1,2,0,0,2,2,0,1,2,0,1,1,0
356,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,-1,0,1,1,1,1,0,0,2,2,1,2,0,2,1,2,2,0,2,0,0,2,0,2,1,2,0,0,0,1,1,2,0,1,2,0,1,2,0,2,0,1,1,2,2,1,0,2,1,2,0,0,1,0,0,2
357,0,1,2,3,2,3,6,6,1,1,0,0,0,0,0,0,0,0,1,2,3,2,4,0,2,0,1,2,3,2,0,0,3,2,1,0,1,1,2,0,1,1,2,0,0,1,1,1,0,2,1,0,0,2,0,0,2,0,1,0,2,1,2,1,1,2,2,0,0,2,2,1,1,0,1,1,2,1,1,1,0,0,0,1,2,1,1,2,2,0
358,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,4,4,5,6,0,0,1,2,1,0,2,0,0,1,1,2,1,2,2,2,2,0,1,2,2,1,1,0,1,0,0,1,2,1,2,1,1,0,0,1,2,2,0,0,1,0,2,1,1,1,2,0,1,2,2,2,0,1,0,0,0
359,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,2,2,0,0,2,1,0,2,0,0,2,0,2,2,1,1,0,1,0,0,2,2,0,1,0,2,1,2,0,0,1,1,2,0,1,0,2,2,1,0,0,0,1,2,1,2,2,1,0,2,0,1,1,2,2,2,2,2,0
360,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,4,4,5,6,0,0,2,1,2,2,0,0,1,2,1,0,1,2,0,1,2,0,0,1,0,2,2,0,2,2,2,1,0,2,0,1,0,0,2,0,0,1,2,1,0,2,0,2,0,2,2,1,1,0,0,0,0,0,2,0,2
361,0,0,1,0,1,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,1,1,3,4,1,2,2,1,2,2,0,2,1,0,0,1,1,2,2,1,2,2,0,1,1,2,0,2,1,1,2,1,2,0,2,0,0,0,1,0,0,1,0,2,0,2,1,1,2,0,0,0,1,2,0,1,0,1,0,0,1
362,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,-1,0,1,0,2,0,0,2,0,2,1,0,1,0,2,0,2,2,1,2,1,1,1,1,0,2,1,0,2,0,2,1,2,1,2,0,0,2,0,0,1,2,2,1,0,0,1,2,0,1,2,1,0,0,1,1
363,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,-1,0,1,1,2,0,2,2,2,1,2,0,2,1,2,2,2,2,2,1,1,2,0,2,0,2,0,0,0,0,0,0,1,0,0,2,1,2,1,1,1,1,2,1,1,1,1,0,2,0,2,1,2,1,1,2
364,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,4,4,2,2,0,0,2,2,1,1,1,2,1,2,1,0,0,1,2,2,2,1,1,2,0,0,0,0,2,1,0,2,1,0,0,1,0,0,2,0,2,2,0,2,1,0,1,2,0,1,2,0,2,1,2,2,1,0,0,0,1
365,0,1,2,2,3,4,3,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,2,4,5,6,1,2,1,0,1,2,2,2,2,1,0,2,0,0,0,2,1,2,2,0,2,2,2,1,1,1,0,1,1,2,1,1,2,2,0,1,1,0,1,0,2,0,1,2,0,2,0,0,0,2,0,0,0,1,1,2,0,1
366,0,1,2,2,3,4,4,7,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,2,4,5,6,1,2,1,2,2,1,1,1,0,1,0,2,1,0,0,2,0,1,1,2,1,1,1,0,0,2,2,0,0,1,1,0,2,0,2,0,2,1,2,0,1,2,1,2,0,0,2,0,1,1,1,0,0,0,1,0,1,0
367,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,0,2,1,2,2,0,0,1,1,2,2,0,2,2,2,0,1,2,0,2,0,2,1,1,2,2,1,2,2,0,1,2,2,0,2,1,1,2,2,1,2,2,1,0,2,2,1,1,2,1,1,2,0,2,1,2
368,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,2,0,1,2,1,0,0,0,2,2,2,1,2,0,1,2,0,0
369,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,4,4,5,6,0,0,1,0,0,2,2,0,0,1,0,2,2,1,2,2,2,0,1,1,0,2,1,0,2,0,1,0,0,2,1,2,0,1,1,2,2,1,1,2,2,1,1,2,1,1,1,2,0,0,1,2,1,0,1,2,1
370,0,1,2,3,2,0,2,4,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,1,2,3,2,0,0,3,2,-1,0,1,1,2,0,2,2,1,1,2,1,1,1,0,0,1,1,0,2,2,0,0,0,1,1,1,0,0,1,0,1,2,1,0,2,1,2,0,1,2,1,0,0,1,0,1,1,2,0,2,1,0,2,0,0
371,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,4,4,2,2,0,0,0,0,2,0,2,0,0,2,1,2,2,1,1,0,0,1,0,2,1,0,1,1,0,1,0,2,2,1,1,1,2,0,1,1,0,1,2,0,2,2,2,2,1,0,2,2,1,2,0,0,2,2,0,0,2
372,0,1,2,3,2,0,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,2,0,0,3,2,1,2,2,1,1,0,1,2,0,1,0,0,2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,2,0,1,2,0,0,1,0,1,2,0,0,0,1,0,2,1,1,0,0,2,2,1,2,1,2,1
373,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,0,2,1,2,0,1,2,0,0,0,0,1,1,0,1,1,2,0,1,2,2,2,2,1,1,1,0,1,0,0,2,2,0,1,1,0,2,2,0,0,2,2,1,2,0,1,2,1,2,1,2,1,1,0,1,0
374,0,0,1,0,1,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,2,1,1,3,0,1,2,0,2,1,0,1,2,2,0,1,0,0,0,0,0,2,0,0,0,1,0,2,1,1,2,0,2,2,1,1,2,0,0,2,2,0,0,2,2,2,1,0,0,0,0,2,0,0,2,0,0,1,2,1,1,1
375,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,0,0,2,0,2,2,2,0,0,2,2,2,2,1,0,1,2,0,2,2,1,0,2,1,2,1,1,2,0,0,0,2,1,1,1,0,1,0,1,0,2,2,0,1,0,1,0,0,1,2,2,1,1,2,2,1
376,0,1,0,1,0,2,3,7,29,1,0,0,0,0,0,0,0,0,1,1,0,1,4,4,2,0,1,2,2,4,5,6,1,2,1,0,0,0,2,0,1,1,1,1,1,2,2,2,0,2,0,1,2,1,1,2,0,0,1,2,2,2,0,2,0,1,1,2,0,2,0,0,1,2,2,0,2,1,0,0,0,1,1,1,1,2,1,2,1,1
377,0,1,0,1,0,2,1,0,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,4,4,2,2,0,-1,0,2,2,2,1,0,1,1,0,1,0,0,1,1,1,0,2,0,0,0,1,0,2,2,1,0,1,1,1,1,2,1,2,0,1,2,2,1,0,1,2,2,0,0,1,0,1,2,1,0,1,1,1,1,2
378,0,1,2,3,2,0,2,6,-1,1,0,0,0,0,0,0,0,0,1,1,3,2,1,1,2,0,1,2,3,2,0,0,3,2,1,1,2,0,0,0,2,0,2,1,2,2,2,0,0,2,0,2,0,2,2,0,2,2,1,2,1,0,2,0,0,0,1,2,1,1,0,2,2,0,0,1,2,2,1,1,0,2,1,2,1,1,2,0,2,0
379,0,0,1,0,1,5,0,1,-1,10,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,0,2,1,1,3,4,1,-1,1,2,2,2,2,2,2,0,0,2,2,2,1,0,1,2,1,2,0,0,0,2,2,2,2,2,1,2,2,1,0,0,0,2,1,0,2,1,0,2,2,1,1,1,1,0,1,0,0,1,2,0,0,2,0
380,0,1,2,3,2,0,2,4,20,9,0,0,0,0,0,0,0,0,1,2,3,2,2,1,5,0,1,2,3,2,0,0,3,2,-1,0,2,2,1,0,0,2,2,2,2,2,1,2,0,1,1,1,1,0,0,0,0,0,0,1,2,2,2,0,1,1,1,0,0,0,1,1,2,2,2,2,1,0,2,0,2,2,1,1,2,2,2,2,1,2
381,0,0,1,0,4,1,5,3,-1,-1,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,-1,1,2,2,2,0,2,1,0,0,1,0,2,0,2,1,1,1,0,2,0,2,2,1,1,0,1,2,2,1,1,1,0,2,0,2,1,0,0,0,0,2,0,1,1,0,1,1,2,1,2,1,1,0,0,1
382,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,2,2,0,0,2,1,2,0,1,0,1,2,1,0,2,0,1,2,1,1,1,2,1,1,1,1,1,2,1,0,0,0,2,2,1,0,2,2,0,2,0,2,0,2,1,2,0,1,0,0,1,0,1,0,0,1,1,2,2
383,0,1,2,3,2,0,2,4,31,13,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,2,0,0,3,2,-1,2,0,1,0,1,2,2,1,0,0,0,2,2,0,0,1,1,2,0,1,2,2,1,1,1,0,1,1,2,2,2,0,2,2,2,1,2,2,2,2,1,2,2,1,0,1,0,0,1,2,2,2,0,0,0
384,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,-1,1,0,0,0,2,2,1,1,2,0,1,2,2,2,1,1,0,0,0,0,2,1,1,1,1,0,2,0,1,0,0,2,0,2,2,1,0,1,0,0,1,1,2,0,1,0,2,1,0,0,1,0,0,1,2
385,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,2,0,0,1,2,0,2,2,0,1,2,1,2,0,2,0,1,1,0,0,1,2,1,0,2,0,2,2,2,0,1,1,0,1,1,2,2,0,2,0,0,1,2,2,0,0,2,0,1,0,0,0,0,1,0,2
386,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,2,0,2,0,1,1,1,0,0,0,2,0,2,0,1,2,2,0,2,1,1,1,1,2,1,0,2,1,1,1,1,0,1,1,1,2,1,1,0,0,1,1,1,0,2,2,1,2,1,0,1,0,2,2,0,0
387,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,0,0,1,2,0,0,0,2,0,0,0,2,2,2,0,1,0,2,0,0,1,1,0,0,0,1,2,1,0,2,0,2,2,2,0,0,1,2,2,1,2,0,0,1,1,0,1,0,0,1,0,2,0,0,2,1
388,0,0,2,2,3,3,6,2,-1,16,0,0,0,0,0,0,0,0,0,2,1,3,5,0,6,0,0,2,2,4,5,6,1,2,-1,1,0,1,1,2,0,0,1,2,2,2,2,1,1,0,2,2,0,0,2,2,0,1,0,0,1,2,2,2,1,0,0,2,0,1,2,2,2,2,2,1,0,1,2,0,2,1,1,1,0,0,2,0,0,2
389,0,1,2,2,3,3,6,2,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,2,3,2,5,6,1,2,1,0,1,0,1,1,1,1,0,0,2,1,1,0,1,1,0,0,1,2,2,1,2,2,1,1,1,1,1,2,1,0,2,2,2,1,0,0,1,1,2,0,2,0,0,2,1,2,0,1,2,2,2,1,2,1
390,0,1,2,3,2,0,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,2,0,0,3,2,1,0,2,2,0,1,1,1,2,1,2,0,0,1,1,2,1,2,1,0,1,2,0,2,0,1,0,2,0,1,2,0,2,2,1,2,1,2,0,2,0,1,2,1,0,0,0,1,0,0,1,1,1,0,2,0
391,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,2,0,2,0,0,2,1,1,1,0,0,0,1,0,2,0,2,2,1,1,0,0,0,2,0,0,0,2,2,0,2,1,1,2,2,0,1,0,2,0,1,0,2,1,1,2,1,0,1,1,0,1,1,2,2,1
392,0,0,1,0,4,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,3,3,4,5,1,2,1,2,1,1,1,2,1,0,2,0,2,2,2,2,1,1,0,0,1,1,2,2,2,1,1,0,0,1,2,0,0,2,2,2,1,2,0,0,2,1,2,0,0,0,1,0,2,1,2,1,2,2,0,1,2
393,0,1,2,3,2,0,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,2,0,0,3,2,1,0,2,2,0,2,2,2,2,0,1,1,2,1,0,1,1,1,0,0,2,1,1,1,0,1,1,1,1,1,0,2,1,0,0,1,2,1,0,2,1,2,0,1,2,1,1,1,0,0,1,1,0,2,2,0
394,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,0,0,2,1,1,0,0,2,0,1,0,2,1,1,1,0,0,2,2,0,0,2,0,0,1,2,1,2,2,1,2,1,1,0,2,1,1,1,2,1,2,1,2,2,0,0,1,2,2,0,0,2,1,0,1,1
395,0,1,2,3,2,3,6,6,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,1,2,3,2,0,0,3,2,1,0,0,0,2,2,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,2,0,1,2,2,1,2,2,2,2,0,1,2,1,2,1,2,1,1,1,0,2,2,2,1,2,1,0,2,2,2,0,0,1,2
396,0,0,1,0,1,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,2,1,1,3,4,1,2,2,0,0,1,2,1,1,1,1,1,0,0,1,0,1,2,2,2,2,2,1,2,2,0,1,0,1,2,2,1,2,2,2,0,0,0,2,1,0,1,0,0,1,0,1,1,2,0,1,2,0,2,2,0,1
397,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,-1,1,0,1,0,2,2,0,1,1,0,2,1,1,2,0,2,1,0,0,0,2,2,0,0,2,2,1,0,1,2,0,1,2,0,1,1,1,2,2,1,2,0,2,1,1,0,0,2,0,1,2,0,2,1,0
398,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,1,7,0,-1,1,1,1,2,2,2,0,2,0,1,1,1,1,1,0,0,2,2,2,0,0,2,2,0,1,2,0,2,0,1,1,2,2,2,1,1,2,2,1,1,1,2,0,1,0,0,2,2,1,2,1,2,0,0,2
399,0,0,1,0,1,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,2,1,1,3,4,1,2,0,0,0,2,0,1,2,1,2,0,1,1,1,2,1,1,1,0,0,2,0,0,2,2,2,0,1,2,0,0,2,1,2,1,0,1,2,2,1,1,1,2,2,2,2,2,1,0,2,1,2,1,1,2,1
400,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,4,4,2,2,0,0,1,1,1,0,0,2,0,2,2,2,0,0,0,2,0,1,1,1,0,1,2,0,2,0,0,0,2,2,2,2,2,2,1,1,2,2,1,2,0,1,1,2,0,1,0,0,2,2,0,1,1,0,0,0,1
401,0,1,2,3,2,3,3,6,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,1,2,3,2,0,0,3,2,1,0,1,1,2,0,2,0,0,1,2,1,2,0,2,1,0,0,1,0,0,2,0,0,0,1,0,1,1,0,2,1,1,0,0,1,1,2,1,2,1,1,2,0,2,2,2,0,1,0,2,2,0,0,0,1
402,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,4,4,2,2,0,0,0,2,1,1,1,2,0,0,2,1,0,0,0,0,0,2,2,2,1,0,1,0,0,0,0,1,2,0,2,0,2,0,0,2,2,0,2,0,0,1,1,2,2,1,2,1,0,0,1,1,0,0,2,1,0
403,0,1,2,2,3,3,6,2,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,2,3,4,5,6,1,2,1,1,2,0,2,0,0,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2,0,2,1,2,1,1,1,2,0,2,2,2,2,0,2,2,1,0,1,0,0,0,2,0,2,0,2,2,2,1,1,2,1,2
404,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,5,6,0,0,2,0,2,0,0,0,2,0,1,1,1,0,1,0,0,0,0,1,1,1,0,2,1,1,1,0,1,2,1,2,1,1,2,0,0,1,1,1,1,1,1,0,1,2,0,0,2,1,2,0,1,1,1,2,1
405,0,0,2,2,3,3,6,2,17,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,2,3,2,0,0,3,2,1,2,0,2,2,0,1,2,2,2,2,0,2,0,0,2,2,2,2,0,0,1,1,0,2,0,2,2,2,1,2,1,1,0,0,1,1,0,1,1,2,0,2,0,2,1,1,0,2,2,2,0,1,2,2,1
406,0,0,1,0,1,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,1,1,3,4,1,2,0,0,1,1,2,2,2,0,0,2,0,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,2,0,0,1,0,0,2,1,1,1,1,2,1,0,2,1,2,2,0,2,1,0,0,0,1,2,0,2,1
