,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack,spectral_clustering_n_clusters_2_eigen_solver_arpack,spectral_clustering_n_clusters_3_eigen_solver_arpack,spectral_clustering_n_clusters_4_eigen_solver_arpack,spectral_clustering_n_clusters_5_eigen_solver_arpack,spectral_clustering_n_clusters_6_eigen_solver_arpack,spectral_clustering_n_clusters_7_eigen_solver_arpack,spectral_clustering_n_clusters_8_eigen_solver_arpack,mean_shift_,optics_min_samples_7_xi_0_08_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54
349,0,1,2,1,0,2,4,1,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,3,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1
350,0,1,2,1,0,2,4,1,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,0,3,1,5,5,6,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
351,0,1,0,3,1,0,2,5,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,0,1,2,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1
352,0,1,0,0,1,5,5,2,44,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,1,2,4,4,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
353,0,1,2,1,0,2,4,1,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,3,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1
354,0,1,2,1,3,2,1,1,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,0,3,2,3,5,7,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0
355,0,0,1,2,0,4,0,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,1,2,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1
356,0,1,2,1,3,5,1,4,31,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,3,2,3,2,7,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0
357,0,1,2,1,3,2,1,1,51,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,0,3,2,3,5,7,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0
358,0,1,2,1,0,2,4,1,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,3,2,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1
359,0,1,2,1,3,2,1,4,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,3,2,3,2,7,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
360,0,0,1,2,2,1,3,6,36,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,3,2,3,4,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0
361,0,0,0,3,4,3,6,5,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1
362,0,0,0,3,4,3,6,0,8,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1
363,0,0,1,3,4,3,6,0,43,1,1,1,1,0,0,0,0,0,0,2,0,1,0,4,5,0,1,2,1,3,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
364,0,1,0,3,1,0,2,5,16,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,1,0,0,1,2,0,0,4,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1
365,0,0,1,2,2,4,0,3,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,2,0,1,5,6,3,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1
366,0,1,2,0,3,5,1,4,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,3,2,3,2,7,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1
367,0,0,0,3,4,0,2,5,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0
368,0,0,0,3,4,0,2,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,1,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0
369,0,0,1,2,2,1,3,6,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,1,2,0,3,2,3,4,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
370,0,1,2,1,3,2,4,1,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,0,3,2,3,5,6,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1
371,0,1,2,1,3,2,1,1,10,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,0,3,2,3,2,7,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0
372,0,0,1,2,2,1,3,6,-1,1,1,1,1,0,0,0,0,0,0,2,3,1,2,4,6,0,1,2,0,3,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1
373,0,1,2,1,0,4,4,3,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,0,0,1,5,5,6,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1
374,0,0,1,2,2,1,3,6,-1,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,2,0,3,2,3,4,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1
375,0,1,0,0,1,0,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,1,2,4,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
376,0,0,1,3,2,3,3,0,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,0,4,5,0,1,2,1,3,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1
377,0,1,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,2,4,4,4,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1
378,0,1,0,0,1,0,5,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,1,2,4,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0
379,0,1,2,1,3,2,1,4,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,3,2,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0
380,0,0,1,2,0,4,0,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,1,2,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
381,0,0,1,2,2,1,3,6,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,6,0,1,2,1,3,2,3,4,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0
382,0,1,0,3,1,0,2,5,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,2,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1
383,0,1,2,1,0,4,4,7,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,1,0,3,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1
384,0,1,0,0,1,5,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,2,4,4,4,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0
385,0,0,1,2,2,1,0,7,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,2,0,3,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0
386,0,1,0,0,1,5,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,2,4,4,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1
387,0,0,1,2,2,1,3,7,3,1,1,1,1,0,0,0,0,0,0,2,3,1,2,4,6,0,1,2,0,3,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0
388,0,0,1,3,4,3,6,0,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,2,1,3,2,3,2,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0
389,0,1,2,0,3,5,1,4,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,0,2,2,3,2,7,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0
390,0,1,2,1,3,2,1,4,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,3,2,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
391,0,1,2,1,3,2,1,4,13,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,3,2,3,2,7,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1
392,0,1,0,0,1,5,5,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,2,4,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0
393,0,0,0,3,4,0,2,5,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0
394,0,0,1,2,2,1,3,6,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,3,2,3,4,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0
395,0,1,2,1,3,2,1,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,3,2,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1
396,0,0,1,2,0,4,0,3,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,1,5,6,3,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
397,0,0,0,3,4,3,6,5,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,1,1,0,0,0,2,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
398,0,0,0,3,4,3,6,5,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,1,1,0,0,0,2,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1
399,0,1,0,0,1,5,5,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,2,4,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
400,0,0,1,2,2,1,3,0,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,6,0,1,2,1,3,2,3,4,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
401,0,1,0,0,1,0,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,1,2,4,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0
402,0,0,0,3,4,0,2,5,39,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,1,1,0,0,0,5,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0
403,0,0,1,2,2,1,0,7,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,2,0,3,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0
404,0,0,1,2,0,4,0,7,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,1,2,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0
405,0,1,2,1,0,4,4,7,1,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,3,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
406,0,1,2,0,3,5,5,4,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,0,0,2,4,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0
407,0,0,1,2,2,1,3,6,11,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,2,0,3,2,3,4,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
408,0,1,0,0,1,5,5,2,44,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,1,2,4,4,4,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0
409,0,1,0,3,1,0,2,5,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,1,2,0,0,4,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
410,0,0,1,2,0,4,0,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,3,0,1,2,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1
411,0,0,1,2,2,1,3,0,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,2,1,3,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0
412,0,0,1,2,2,1,3,7,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,2,0,3,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0
413,0,0,1,2,2,1,3,7,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,2,0,3,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1
414,0,0,0,3,4,0,2,5,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0
415,0,1,0,0,1,5,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,2,4,4,4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1
416,0,1,2,0,1,5,5,4,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,1,2,4,4,2,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
417,0,1,2,1,0,2,4,1,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,3,2,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1
418,0,1,0,3,1,0,2,5,49,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,1,2,4,4,4,5,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1
419,0,1,0,0,1,0,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,1,2,4,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1
